Application,Total,Instance Private Methods,Instance Package-Private Methods,Instance Public Methods,Instance Public Overridden Methods,Static Private Methods,Static Package-Private Methods,Static Public Methods,Not Found Methods,Constructors,"Instance Private Methods, %","Instance Package-Private Methods, %","Instance Public Methods, %","Instance Public Overridden Methods, %","Static Private Methods, %","Static Package-Private Methods, %","Static Public Methods, %","Not Found Methods, %","Constructors, %"
Verification Half,15907,0,0,0,5302,5302,0,1,0,5302,0.0000,0.0000,0.0000,33.3312,33.3312,0.0000,0.0063,0.0000,33.3312
Verification Instance,21545,0,0,0,10772,0,0,1,0,10772,0.0000,0.0000,0.0000,49.9977,0.0000,0.0000,0.0046,0.0000,49.9977
Verification Statics,10631,0,0,0,0,10630,0,1,0,0,0.0000,0.0000,0.0000,0.0000,99.9906,0.0000,0.0094,0.0000,0.0000
