Application,Total,Instance Private Methods,Instance Package-Private Methods,Instance Public Methods,Instance Public Overridden Methods,Static Private Methods,Static Package-Private Methods,Static Public Methods,Not Found Methods,Constructors,"Instance Private Methods, %","Instance Package-Private Methods, %","Instance Public Methods, %","Instance Public Overridden Methods, %","Static Private Methods, %","Static Package-Private Methods, %","Static Public Methods, %","Not Found Methods, %","Constructors, %",Total,Methods,Constructors
Apache Derby 10.16.1.1,59721058,6311751,22342071,28235093,11484,97807,415501,1410840,661777,239718,10.5687,37.4107,47.2783,0.0192,0.1638,0.6957,2.3624,1.1081,0.4014,7260782,6632566,628216
Apache Kafka 3.4.0,1802910,114164,134197,563420,614141,37432,1134,94184,174892,152037,6.3322,7.4434,31.2506,34.0639,2.0762,0.0629,5.2240,9.7005,8.4329,5274526,4891162,383364
Apache Tomcat 10.1.8,1821923,36435,100350,1206167,205988,8575,16270,314983,9341,9338,1.9998,5.5079,66.2030,11.3061,0.4707,0.8930,17.2885,0.5127,0.5125,2857362,2821138,36224
Spring Framework 5.3.27,1180150,66354,173357,222616,276803,22832,34236,168368,162724,78557,5.6225,14.6894,18.8634,23.4549,1.9347,2.9010,14.2667,13.7884,6.6565,3839448,3722716,116732
Takes 1.24.4,94436,825,0,330,53351,16665,0,0,2585,20680,0.8736,0.0000,0.3494,56.4943,17.6469,0.0000,0.0000,2.7373,21.8984,1213217,911716,301501
Struts 6.1.2,23385,734,2934,9372,3582,0,0,2932,244,3993,3.1388,12.5465,40.0770,15.3175,0.0000,0.0000,12.5380,1.0434,17.0750,15937825,15598227,339598
Micronaut 3.9.3,632290,38114,97213,21509,268236,5544,18020,77616,94949,51977,6.0279,15.3747,3.4018,42.4229,0.8768,2.8500,12.2754,15.0167,8.2204,5481584,5303095,178489
